"","base_single1","result_multi1","base_single2","result_multi2","base_single3","result_multi3","base_single4","result_multi4","result_multi5","result_multi6","result_multi7","result_multi8"
"Feq","0.2","0.2","0.062","0.062","0.2","0.2","0.062","0.062","0.2","0.063","0.063","0.062"
"D","0.035","0.035","0.4","0.4","0.035","0.035","0.4","0.4","0.044","0.4","0.4","0.4"
"B0","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63","7984550.63"
"SB","276879.591","276879.591","3193820.252","3193820.252","276879.591","276879.591","3193820.252","3193820.252","347831.76","3193820.236","3193820.218","3193820.252"
"VB","531424.873","531424.873","6268729.273","6268729.273","531424.873","531424.873","6268729.273","6268729.273","657084.007","6218363.271","6198113.583","6232160.054"
"SPR","0.24","0.24","0.528","0.528","0.24","0.24","0.528","0.528","0.247","0.528","0.528","0.528"
"Req","1443.338","1443.338","7578.947","7578.947","1443.338","1443.338","7578.947","7578.947","1761.914","7578.947","7578.947","7578.947"
"fleet_proportions",NA,"0.5, 0.5",NA,"0.5, 0.5",NA,"0.7, 0.3",NA,"0.7, 0.3","0.5, 0.5","0.5, 0.5","0.3, 0.7","0.3, 0.5, 0.2"
"F_by_fleet",NA,"0.1, 0.1",NA,"0.031, 0.031",NA,"0.14, 0.06",NA,"0.043, 0.018","0.1, 0.1","0.031, 0.031","0.019, 0.044","0.019, 0.031, 0.012"
